Datetime,Close,High,Low,Open,Volume,Adj Close
2026-04-29 09:30:00-04:00,24557.34375,24601.779296875,24547.685546875,24601.779296875,0,24557.34375
2026-04-29 09:35:00-04:00,24597.07421875,24597.07421875,24539.7578125,24552.052734375,183204000,24597.07421875
2026-04-29 09:40:00-04:00,24601.330078125,24607.541015625,24588.08984375,24604.439453125,143125000,24601.330078125
2026-04-29 09:45:00-04:00,24604.802734375,24612.693359375,24574.63671875,24595.04296875,145867000,24604.802734375
2026-04-29 09:50:00-04:00,24648.86328125,24649.26953125,24600.953125,24600.953125,122894000,24648.86328125
2026-04-29 09:55:00-04:00,24643.123046875,24655.16015625,24637.599609375,24654.64453125,104115000,24643.123046875
2026-04-29 10:00:00-04:00,24624.064453125,24636.7734375,24602.521484375,24636.7734375,143056000,24624.064453125
2026-04-29 10:05:00-04:00,24612.625,24630.16796875,24603.326171875,24623.9140625,132085000,24612.625
2026-04-29 10:10:00-04:00,24641.349609375,24641.349609375,24603.22265625,24612.439453125,109062000,24641.349609375
2026-04-29 10:15:00-04:00,24648.12109375,24648.142578125,24629.37890625,24641.71484375,86416000,24648.12109375
2026-04-29 10:20:00-04:00,24658.19140625,24658.396484375,24629.216796875,24645.666015625,86422000,24658.19140625
2026-04-29 10:25:00-04:00,24684.564453125,24688.599609375,24657.802734375,24660.375,85477000,24684.564453125
2026-04-29 10:30:00-04:00,24703.189453125,24704.92578125,24664.7890625,24677.33203125,88134000,24703.189453125
2026-04-29 10:35:00-04:00,24711.73828125,24723.796875,24699.638671875,24704.904296875,87073000,24711.73828125
2026-04-29 10:40:00-04:00,24710.501953125,24711.3046875,24690.390625,24705.94921875,101394000,24710.501953125
2026-04-29 10:45:00-04:00,24693.060546875,24719.173828125,24693.060546875,24718.244140625,81207000,24693.060546875
2026-04-29 10:50:00-04:00,24695.1015625,24699.08203125,24686.533203125,24693.00390625,79467000,24695.1015625
2026-04-29 10:55:00-04:00,24691.900390625,24700.298828125,24687.35546875,24695.30859375,69261000,24691.900390625
2026-04-29 11:00:00-04:00,24674.71484375,24697.064453125,24671.466796875,24690.96875,76860000,24674.71484375
2026-04-29 11:05:00-04:00,24647.49609375,24680.5,24647.49609375,24674.451171875,66410000,24647.49609375
2026-04-29 11:10:00-04:00,24626.142578125,24647.572265625,24625.1953125,24644.140625,71981000,24626.142578125
2026-04-29 11:15:00-04:00,24645.970703125,24652.552734375,24618.994140625,24624.685546875,61883000,24645.970703125
2026-04-29 11:20:00-04:00,24656.021484375,24659.83984375,24647.6328125,24648.982421875,57699000,24656.021484375
2026-04-29 11:25:00-04:00,24665.8203125,24669.357421875,24651.876953125,24655.90625,53677000,24665.8203125
2026-04-29 11:30:00-04:00,24676.083984375,24677.609375,24660.419921875,24664.796875,58306000,24676.083984375
2026-04-29 11:35:00-04:00,24667.23828125,24682.48046875,24663.662109375,24680.404296875,51901000,24667.23828125
2026-04-29 11:40:00-04:00,24662.07421875,24672.98046875,24655.947265625,24667.853515625,50054000,24662.07421875
2026-04-29 11:45:00-04:00,24667.646484375,24678.927734375,24661.35546875,24661.904296875,53083000,24667.646484375
2026-04-29 11:50:00-04:00,24601.89453125,24671.34765625,24597.669921875,24668.39453125,65822000,24601.89453125
2026-04-29 11:55:00-04:00,24622.765625,24625.8515625,24596.38671875,24607.546875,56795000,24622.765625
2026-04-29 12:00:00-04:00,24630.27734375,24635.0625,24617.35546875,24623.330078125,59966000,24630.27734375
2026-04-29 12:05:00-04:00,24631.908203125,24642.400390625,24626.623046875,24630.142578125,41022000,24631.908203125
2026-04-29 12:10:00-04:00,24624.466796875,24643.1171875,24624.18359375,24631.35546875,46511000,24624.466796875
2026-04-29 12:15:00-04:00,24590.140625,24631.333984375,24589.041015625,24624.201171875,41984000,24590.140625
2026-04-29 12:20:00-04:00,24601.970703125,24607.025390625,24586.287109375,24588.390625,36075000,24601.970703125
2026-04-29 12:25:00-04:00,24577.24609375,24604.29296875,24576.958984375,24601.767578125,43806000,24577.24609375
2026-04-29 12:30:00-04:00,24541.20703125,24572.94140625,24537.865234375,24572.94140625,53698000,24541.20703125
2026-04-29 12:35:00-04:00,24558.068359375,24558.068359375,24533.01171875,24541.310546875,53726000,24558.068359375
2026-04-29 12:40:00-04:00,24575.77734375,24578.490234375,24562.736328125,24562.736328125,46015000,24575.77734375
2026-04-29 12:45:00-04:00,24579.244140625,24580.744140625,24567.3203125,24575.234375,46457000,24579.244140625
2026-04-29 12:50:00-04:00,24575.677734375,24589.306640625,24572.373046875,24577.146484375,37773000,24575.677734375
2026-04-29 12:55:00-04:00,24569.52734375,24581.755859375,24560.017578125,24575.064453125,49951000,24569.52734375
2026-04-29 13:00:00-04:00,24562.7890625,24573.80078125,24552.162109375,24570.3046875,40581000,24562.7890625
2026-04-29 13:05:00-04:00,24579.908203125,24580.6640625,24561.265625,24563.48828125,44691000,24579.908203125
2026-04-29 13:10:00-04:00,24579.41796875,24590.291015625,24575.0234375,24580.994140625,36133000,24579.41796875
2026-04-29 13:15:00-04:00,24581.419921875,24588.634765625,24570.169921875,24579.349609375,37364000,24581.419921875
2026-04-29 13:20:00-04:00,24585.619140625,24599.435546875,24580.697265625,24580.697265625,41943000,24585.619140625
2026-04-29 13:25:00-04:00,24590.7109375,24590.7109375,24576.80859375,24584.8671875,37686000,24590.7109375
2026-04-29 13:30:00-04:00,24593.798828125,24604.7265625,24590.11328125,24595.412109375,36982000,24593.798828125
2026-04-29 13:35:00-04:00,24596.5703125,24599.396484375,24589.970703125,24594.052734375,43939000,24596.5703125
2026-04-29 13:40:00-04:00,24599.4609375,24599.57421875,24587.029296875,24596.640625,41440000,24599.4609375
2026-04-29 13:45:00-04:00,24615.28125,24619.556640625,24596.169921875,24600.0390625,49216000,24615.28125
